#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 7 days. These proxies have
# a 83.2% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Sat Jul 25 23:59:47 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
103.115.255.66,entry is 103.115.255.225
103.115.255.70,entry is 103.115.255.225
103.115.45.100,
103.115.46.182,
103.116.82.146,entry is 103.116.82.150
103.117.108.56,entry is 103.117.108.58
103.117.203.222,entry is 103.136.82.252
103.118.102.98,
103.118.127.222,
103.118.255.136,
103.118.85.74,entry is 103.118.85.210
103.118.85.75,entry is 103.118.85.144
103.119.101.59,
103.119.147.235,
103.119.55.59,entry is 23.95.34.18
103.119.60.219,
103.119.63.144,
103.119.67.27,
103.120.165.132,
103.120.175.243,
103.120.220.194,entry is 103.120.221.225
103.120.220.195,entry is 103.120.221.225
103.120.220.43,entry is 103.120.220.169
103.120.221.39,entry is 103.120.223.121
103.120.222.11,entry is 103.120.220.25
103.120.76.158,
103.120.76.182,
103.120.76.34,
103.120.76.45,
103.120.76.46,
103.120.76.54,
103.120.76.58,
103.121.120.242,entry is 103.236.134.210
103.121.199.138,
103.121.214.50,
103.121.22.192,
103.121.23.30,entry is 36.50.151.237
103.122.0.13,entry is 103.122.0.151
103.122.0.226,entry is 103.122.0.52
103.122.0.227,entry is 103.122.0.52
103.122.0.228,entry is 103.122.0.52
103.122.0.229,entry is 103.122.0.52
103.122.0.230,entry is 103.122.0.52
103.122.1.10,entry is 103.122.1.12
103.122.1.122,entry is 103.122.1.61
103.122.1.26,
103.122.1.98,entry is 103.122.0.52
103.122.253.12,entry is 103.122.253.20
103.122.60.2,entry is 103.122.60.213
103.122.64.139,
103.122.64.163,
103.122.64.222,
103.122.64.232,
103.122.65.242,
103.122.66.164,
103.123.226.134,entry is 202.179.83.169
103.123.227.138,entry is 202.179.85.25
103.123.235.114,
103.123.249.15,entry is 27.50.18.113
103.123.64.234,
103.124.136.251,
103.124.137.179,entry is 103.63.26.231
103.124.137.33,
103.124.138.149,
103.124.165.204,entry is 91.98.161.17
103.124.197.227,entry is 103.124.199.116
103.124.197.230,entry is 103.124.198.118
103.124.197.26,
103.124.199.122,entry is 103.124.196.134
103.124.251.12,
103.124.97.12,
103.125.116.50,entry is 103.125.117.3
103.125.117.134,entry is 103.125.118.132
103.125.117.18,
103.125.117.46,
103.125.117.54,
