#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Aug 10 02:03:04 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
2803:ecd0::2,entry is 45.173.203.52
2803:ee60:30:301::2,entry is 45.179.201.210
2803:ee60:30:301::3,entry is 181.78.82.211
2803:f10:17:40::2,entry is 149.2.82.195
2803:f10:36:9::2,entry is 38.52.220.181
2803:f10:9:13::2,entry is 149.2.82.158
2803:f2c0:0:101::11e,entry is 170.83.242.76
2803:f2c0:0:101::17a,entry is 181.78.94.23
2804:145c:a01::5a,entry is 191.7.196.128
2804:204:100:94::2,entry is 187.44.188.238
2804:2190:d404:c60::1,entry is 187.49.178.237
2804:2aec::106,entry is 143.208.84.57
2804:2b00:0:1:0:5:ac8:9892,entry is 143.208.152.62
2804:3128:240::26,entry is 179.48.8.9
2804:4a60::21a,entry is 177.85.69.252
2804:69c4:f::2,entry is 201.71.24.65
2804:7674::2,entry is 179.48.11.6
2804:828:0:128::2,entry is 177.125.208.1
2804:ef4:57b7:6c00::,entry is 201.76.9.115
2806:211:10a:101::10,entry is 201.159.102.17
2806:211:e:fe07::10,entry is 187.248.75.114
2806:319:1:119:464c:a8ff:fe55:212,entry is 38.65.175.68
2806:3a3:3fff:ff07::2,entry is 200.110.106.72
2806:3a3:40f:ff00::,entry is 204.157.104.16
2806:3f6:400::2,entry is 38.158.202.97
2806:429:e:2::2,entry is 38.210.179.204
2a00:1169:11d:3da0::,entry is 92.205.186.129
2a00:5da0:1000:1::264e,entry is 46.247.41.222
2a01:239:290:200::1,entry is 212.132.126.182
2a01:4f8:1c19:65d::1,entry is 5.161.18.220
2a01:4f8:1c19:6e52::1,entry is 178.104.91.17
2a01:4f8:c012:f3d4::1,entry is 102.211.56.106
2a01:4f8:c012:fb41::1,entry is 76.144.40.133
2a01:4f8:c013:1eb9::1,entry is 102.211.56.106
2a01:4f8:c013:ffc0::1,entry is 76.144.40.133
2a01:4f8:c014:336b::1,entry is 102.211.56.106
2a01:4f8:c014:b2fd::1,entry is 76.144.40.133
2a01:4f8:c014:b3a8::1,entry is 102.211.56.106
2a01:4f8:c014:c8a3::1,entry is 76.144.40.133
2a01:4f8:c014:f317::1,entry is 76.144.40.133
2a01:4f8:c2c:71e0::1,entry is 102.211.56.106
2a01:4f9:c011:610c::1,entry is 65.109.179.56
2a01:4f9:c012:ab05::1,entry is 109.95.61.203
2a01:e5c0:4114::2,entry is 79.137.204.149
2a01:e5c0:4b3a::2,entry is 79.137.197.56
2a01:e5c0:52d1::2,entry is 62.60.216.191
2a01:ecc0:200:681::2,entry is 77.239.103.9
2a01:ecc0:40:1ee1::2,entry is 144.31.255.9
2a01:ecc0:500:93::2,entry is 94.156.180.137
2a02:430::1:0:1:10,entry is 213.135.6.13
2a02:c206:2146:844::1,entry is 185.185.80.58
2a02:c207:2272:3244::1,entry is 5.189.138.17
2a02:c207:2274:786::1,entry is 185.182.187.49
2a02:c207:2319:2681::1,entry is 157.173.123.247
2a02:c207:2336:4504::1,entry is 13.140.170.132
2a03:2100:0:3a::2,entry is 93.113.63.11
2a03:4000:4e:7cf:88aa:f6ff:fe87:bbd0,entry is 185.232.70.11
2a03:6f00:a::1:e31f,entry is 5.42.116.76
2a03:6f02::1:43f0,entry is 64.188.62.23
2a03:6f02::1:72a2,entry is 72.56.98.237
2a03:6f02::ba58,entry is 147.45.234.29
2a03:6f02::c2e1,entry is 72.56.73.224
2a03:6f02::cccc,entry is 5.129.227.157
2a03:6f02::d3d5,entry is 5.129.233.140
2a03:6f02::fc39,entry is 95.140.159.95
2a03:90c0:5f1:2903::79,entry is 85.90.207.46
2a04:52c0:125:7543::1,entry is 5.255.120.238
2a05:541:113:2c::1,entry is 45.95.232.35
2a06:1280:f11c::2,entry is 103.208.86.73
2a06:a880:1:776f::1,entry is 102.211.56.106
2a06:a880:2:f155::1,entry is 102.211.56.106
2a06:a880:5:dfd3::1,entry is 102.211.56.106
2a09:bac1:27c0:f0::2b8:67,entry is 167.86.79.35
2a09:bac1:6180:3380::57:22d,entry is 144.31.222.106
2a09:bac1:61a0:3380::57:22d,entry is 144.31.222.106
2a09:bac1:76c0:3d0::1bd:11c,entry is 173.254.204.118
2a09:bac1:76c0:6e0::419:25,entry is 144.202.14.153
2a09:bac5:176a:1ad2::2ac:47,entry is 185.196.61.251
2a09:bac5:27bc:1282::1d8:200,entry is 84.200.128.182
2a09:bac5:27be:1b4b::2b8:59,entry is 84.200.128.182
2a09:bac5:31cb:2db9::48e:66,entry is 204.168.225.55
2a09:bac5:33e1:28d2::411:3e,entry is 109.199.107.68
2a09:bac5:33e4:2c8::47:5a0,entry is 109.199.107.68
2a09:bac5:33e7:1282::1d8:212,entry is 109.199.107.68
2a09:bac5:4e23:2e3c::49b:17,entry is 83.171.224.165
2a09:bac5:51a8:2373::388:98,entry is 144.31.222.106
2a09:bac5:51a9:2373::388:98,entry is 144.31.222.106
2a09:bac5:51ac:369::57:22d,entry is 144.31.222.106
2a09:bac5:51ae:369::57:22d,entry is 144.31.222.106
2a09:bac5:6369:78::c:38a,entry is 136.0.197.87
2a09:bac5:a312:2769::3ed:3e,entry is 144.202.14.153
2a09:bac5:a314:197d::28a:9d,entry is 144.202.14.153
2a09:e683:7:1e::a,entry is 76.144.40.133
2a09:e683:7:21::a,entry is 76.144.40.133
2a09:e683:7:22::a,entry is 102.211.56.106
2a09:e683:7:2::a,entry is 76.144.40.133
2a09:e683:7:3::a,entry is 76.144.40.133
2a09:e683:7:57::a,entry is 76.144.40.133
2a09:e683:7:58::a,entry is 76.144.40.133
2a09:e683:7:63::a,entry is 102.211.56.106
2a09:e683:7:66::a,entry is 76.144.40.133
2a09:e683:7:6::a,entry is 102.211.56.106
2a09:e683:7:6c::a,entry is 102.211.56.106
2a09:e683:7:72::a,entry is 76.144.40.133
2a09:e683:7:77::a,entry is 102.211.56.106
2a09:e683:7:78::a,entry is 102.211.56.106
2a09:e683:7:7e::a,entry is 102.211.56.106
2a09:e683:7:7f::a,entry is 76.144.40.133
2a09:e683:7:a1::a,entry is 102.211.56.106
2a09:e683:7:a3::a,entry is 76.144.40.133
2a09:e683:7:a4::a,entry is 76.144.40.133
2a0a:2b41:c:d6e7::,entry is 193.42.115.229
2a0a:4cc0:c1:6c2:2867:5eff:fe2b:84ab,entry is 152.53.141.59
2a0a:4cc0:c1:b656:44b:87ff:fef0:281a,entry is 159.195.49.27
2a0a:9300:1:10df::1,entry is 194.53.54.201
2a0b:4140:53ab::2,entry is 138.124.26.19
2a0b:4140:9329::2,entry is 62.60.230.196
