#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 7 days. These proxies have
# a 83.2% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Sun Feb 15 23:52:07 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
2803:5b90:ff05::2,entry is 38.253.86.19
2803:5e40:a000:32::2,entry is 170.233.193.129
2803:5f90:5600::1,entry is 38.183.182.242
2803:5f90:5800::,entry is 38.183.183.114
2803:6a10:7000:1::2,entry is 167.249.30.64
2803:7a20:80:4::2,entry is 45.225.204.13
2803:8b80:100:100::16,entry is 131.221.42.1
2803:9c90:1090::2,entry is 38.158.83.129
2803:9c90:1100::2,entry is 38.158.83.161
2803:9c90:8::1,entry is 38.158.83.241
2803:9c90:a010:0:a55:31ff:fe5c:15bc,entry is 38.158.83.193
2803:9cc0:104::,entry is 209.14.98.6
2803:a8a0::36,entry is 45.236.170.178
2803:aa20:8000::1,entry is 45.225.89.145
2803:ace0:189::13:2,entry is 190.93.189.142
2803:ace0:189::2:2,entry is 190.93.191.20
2803:b350:c00::,entry is 186.96.97.203
2803:bc40:8100:38::3,entry is 207.230.8.75
2803:bc40:8100:61::3,entry is 181.119.67.133
2803:bc40:8100::d,entry is 190.60.57.30
2803:bc40:a000:5f::3,entry is 181.78.22.148
2803:bc40:a000:8e::3,entry is 190.60.59.181
2803:c000:13e:1::1ca,entry is 190.8.164.29
2803:ce10:2e::1,entry is 200.24.138.73
2803:d710:1003::1,entry is 209.14.108.70
2803:d90:511::2,entry is 179.1.48.49
2803:ec0:2013:1::2,entry is 45.4.0.10
2803:ec50:0:8000::2,entry is 38.191.80.249
2803:ec50:1::1,entry is 38.191.80.249
2803:ee60:30:301::2,entry is 181.78.82.214
2803:ee60:30:301::3,entry is 181.78.82.211
2803:f10:7:1::2,entry is 38.52.220.122
2803:f2c0:0:101::17a,entry is 170.83.243.41
2804:1230:0:19::2,entry is 177.190.189.26
2804:145c:43fd::22,entry is 191.7.216.26
2804:145c:a01::5a,entry is 191.7.196.130
2804:145c:a07::36,entry is 191.7.197.10
2804:14b8:4501::2,entry is 191.37.4.128
2804:2190:d404:c60::1,entry is 187.49.178.237
2804:236c:8311:7400::,entry is 138.99.94.51
2804:236c:8315:7500::,entry is 138.99.94.51
2804:236c:8315:ba00::,entry is 138.99.94.51
2804:236c:831e:bb00::,entry is 138.99.94.51
2804:2b44:37::1,entry is 143.255.111.114
2804:3128:1000::76,entry is 170.84.145.76
2804:3128:240::46,entry is 170.84.147.206
