#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Jul 27 02:00:43 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
103.145.34.155,entry is 103.145.34.166
103.145.34.17,entry is 103.145.34.65
103.146.170.244,entry is 103.146.170.65
103.146.170.252,
103.146.185.130,entry is 103.146.185.139
103.146.185.140,
103.146.185.180,
103.146.185.3,entry is 103.146.185.170
103.146.185.5,
103.146.185.81,entry is 103.146.185.85
103.146.38.121,
103.146.42.180,entry is 103.146.42.178
103.147.118.42,entry is 103.147.118.240
103.147.118.66,entry is 103.147.118.67
103.147.134.114,
103.147.134.115,
103.147.241.138,
103.147.247.171,
103.147.247.191,
103.147.247.193,
103.148.10.56,entry is 103.148.11.73
103.148.130.50,
103.148.178.10,
103.148.195.11,entry is 103.148.195.22
103.148.201.74,
103.148.216.116,entry is 103.148.217.247
103.148.216.117,entry is 103.148.216.125
103.148.28.109,
103.148.28.246,
103.148.28.97,entry is 103.148.29.41
103.148.39.34,entry is 103.148.39.50
103.148.39.38,
103.148.44.11,
103.148.44.197,
103.149.118.51,
103.149.194.11,
103.149.75.82,
103.15.214.2,entry is 103.15.214.20
103.15.247.245,entry is 103.146.54.25
103.150.166.241,entry is 103.150.166.160
103.150.191.149,
103.150.206.77,
103.150.218.162,
103.151.155.20,
103.151.17.42,entry is 103.151.17.201
103.151.223.219,
103.151.227.130,
103.151.227.166,entry is 103.151.226.10
103.151.246.30,
103.152.232.110,
103.152.232.114,
103.152.238.179,
103.152.238.21,
103.152.238.77,
103.152.238.84,
103.152.238.89,
103.152.239.107,entry is 160.20.128.27
103.152.239.131,entry is 103.152.238.145
103.152.92.130,entry is 103.152.92.131
103.153.149.138,
103.153.149.18,
103.153.185.65,entry is 103.157.253.233
103.153.190.43,
103.153.191.119,entry is 103.153.190.49
103.153.223.23,
103.153.246.54,
103.153.247.110,
103.153.247.69,entry is 103.153.246.61
103.153.250.1,entry is 103.153.250.65
103.153.40.194,
103.153.62.162,
103.153.62.168,entry is 38.183.146.97
103.153.62.171,entry is 103.153.62.155
103.153.62.180,
103.153.62.242,
103.153.62.245,
103.153.62.28,entry is 38.183.144.94
103.153.62.92,entry is 38.183.146.143
103.153.63.1,entry is 45.198.20.185
103.153.63.140,entry is 103.153.63.10
103.153.63.146,
103.153.63.57,entry is 38.183.146.25
103.153.96.182,
103.154.113.242,entry is 103.154.113.243
103.154.178.15,
103.154.178.192,
103.154.178.58,entry is 103.154.178.106
103.154.222.58,
103.154.224.227,
103.154.230.44,entry is 103.154.230.42
103.154.230.79,entry is 103.154.230.78
103.154.231.123,
103.154.231.249,
103.154.231.42,entry is 103.154.230.129
103.154.24.2,
103.154.52.5,
103.154.53.230,
103.154.76.29,
103.154.76.52,
103.154.76.90,
103.154.77.202,entry is 103.154.77.46
103.154.77.43,
103.154.77.82,
103.154.90.90,entry is 103.18.76.254
103.154.92.74,
103.155.116.238,
103.155.130.134,
103.155.130.94,entry is 103.155.130.241
103.155.167.149,
103.155.167.237,
103.155.167.82,
103.155.168.156,entry is 103.155.168.157
103.155.168.162,entry is 103.155.168.161
103.155.168.164,
103.155.168.169,entry is 103.155.168.170
103.155.168.176,
103.155.168.88,entry is 103.155.168.90
103.155.168.96,entry is 103.155.168.98
103.155.169.200,
103.155.169.62,
103.155.184.51,
103.155.190.130,
103.155.196.134,entry is 103.155.196.131
103.155.196.160,
103.155.196.20,
103.155.196.46,
103.155.196.47,
103.155.196.65,
103.155.196.93,
103.155.197.64,
103.155.197.87,entry is 103.155.197.84
103.155.198.163,
103.155.199.68,
103.155.246.42,
103.156.14.15,
103.156.14.155,
103.156.14.26,entry is 157.10.97.133
103.156.14.54,
103.156.15.105,
103.156.15.129,
103.156.15.14,
103.156.15.86,
103.156.16.186,
103.156.16.227,
103.156.16.234,
103.156.16.235,
103.156.16.63,
103.156.16.67,
103.156.17.137,
103.156.17.139,
103.156.17.161,
103.156.17.171,
103.156.17.232,
103.156.17.235,
103.156.17.237,
103.156.17.35,
103.156.17.65,
103.156.17.69,
103.156.217.101,
103.156.219.118,
103.156.224.66,
103.156.233.129,
103.156.233.195,
103.156.233.41,
103.156.233.49,
103.156.233.57,
103.156.248.23,
103.156.248.39,
103.156.248.52,entry is 103.193.145.137
103.156.248.60,
103.156.249.112,
103.156.57.163,entry is 103.162.141.146
103.156.74.46,entry is 103.156.75.49
103.156.75.243,
103.156.75.41,
103.156.86.197,
103.156.96.106,entry is 103.156.96.31
